"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"11","2026-09-03T07:47:54.0326095Z","13,9149904","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"11","2026-09-03T07:47:54.0326095Z","13,9149904","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"11","2026-09-03T07:47:54.0326095Z","13,9149904","7","412819456","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"11","2026-09-03T07:47:54.0326095Z","13,9149904","7","412819456","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"11","2026-09-03T07:47:54.0326095Z","13,9149904","7","412819456","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"12","2026-09-03T07:47:55.2835521Z","15,1646649","7","412819456","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37191680","13361152"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"13","2026-09-03T07:47:56.5373338Z","16,4144237","7","412819456","335396864","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"14","2026-09-03T07:47:57.7904279Z","17,6675521","7","412807168","335368192","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
